Date,Article DOI
2017-04-27T00:00:00.000Z,10.1101/100743
2017-05-23T00:00:00.000Z,10.1101/108589
2017-06-12T00:00:00.000Z,10.1101/110577
2017-07-11T00:00:00.000Z,10.1101/113324
2017-07-12T00:00:00.000Z,10.1101/113274
2017-07-12T00:00:00.000Z,10.1101/131136
2017-07-31T00:00:00.000Z,10.1101/136325
2017-09-20T00:00:00.000Z,10.1101/143560
2017-09-26T00:00:00.000Z,10.1101/101980
2017-09-28T00:00:00.000Z,10.1101/141127
2017-10-05T00:00:00.000Z,10.1101/145169
2017-10-06T00:00:00.000Z,10.1101/150482
2017-11-07T00:00:00.000Z,10.1101/127548
2017-11-13T00:00:00.000Z,10.1101/151068
2017-11-22T00:00:00.000Z,10.1101/180000
2017-12-05T00:00:00.000Z,10.1101/139147
2017-12-14T00:00:00.000Z,10.1101/149211
2017-12-15T00:00:00.000Z,10.1101/148189
2018-01-26T00:00:00.000Z,10.1101/118695
2018-02-07T00:00:00.000Z,10.1101/179044
2018-02-09T00:00:00.000Z,10.1101/163691
2018-02-27T00:00:00.000Z,10.1101/169268
2018-03-13T00:00:00.000Z,10.1101/191825
2018-05-07T00:00:00.000Z,10.1101/202481
2018-05-29T00:00:00.000Z,10.1101/276675
2018-06-03T00:00:00.000Z,10.1101/149617
2018-06-04T00:00:00.000Z,10.1101/209254
2018-06-11T00:00:00.000Z,10.1101/240127
2018-07-03T00:00:00.000Z,10.1101/214866
2018-07-20T00:00:00.000Z,10.1101/273367
2018-09-01T00:00:00.000Z,10.1101/161786
2018-09-29T00:00:00.000Z,10.1101/152215
2018-10-23T00:00:00.000Z,10.1101/168260
2018-10-31T00:00:00.000Z,10.1101/207183
2018-11-14T00:00:00.000Z,10.1101/239244
2018-12-06T00:00:00.000Z,10.1101/316117
2018-12-11T00:00:00.000Z,10.1101/306456
2018-12-13T00:00:00.000Z,10.1101/342758
2018-12-17T00:00:00.000Z,10.1101/356147
2019-01-02T00:00:00.000Z,10.1101/290791
2019-01-07T00:00:00.000Z,10.1101/402016
2019-01-31T00:00:00.000Z,10.1101/351288
2019-02-06T00:00:00.000Z,10.1101/337477
2019-03-22T00:00:00.000Z,10.1101/420877
2019-03-26T00:00:00.000Z,10.1101/236646
2019-04-30T00:00:00.000Z,10.1101/433235
2019-05-29T00:00:00.000Z,10.1101/461947
2019-05-29T00:00:00.000Z,10.1101/550319
2019-06-06T00:00:00.000Z,10.1101/305730
2019-06-07T00:00:00.000Z,10.1101/505610
2019-06-21T00:00:00.000Z,10.1101/589945
2019-07-09T00:00:00.000Z,10.1101/362129
2019-07-22T00:00:00.000Z,10.1101/314351
2019-08-27T00:00:00.000Z,10.1101/643619
2019-09-12T00:00:00.000Z,10.1101/622373
2019-11-13T00:00:00.000Z,10.1101/586362
2019-11-20T00:00:00.000Z,10.1101/717702
2019-11-22T00:00:00.000Z,10.1101/656413
2019-11-24T00:00:00.000Z,10.1101/647867
2019-12-02T00:00:00.000Z,10.1101/621581
2020-01-09T00:00:00.000Z,10.1101/376756
2020-01-17T00:00:00.000Z,10.1101/671867
2020-01-22T00:00:00.000Z,10.1101/638288
2020-02-08T00:00:00.000Z,10.1101/809814
2020-03-11T00:00:00.000Z,10.1101/807727
2020-04-02T00:00:00.000Z,10.1101/662577
2020-04-22T00:00:00.000Z,10.1101/849968
2020-04-29T00:00:00.000Z,10.1101/622142
2020-05-03T00:00:00.000Z,10.1101/407163
2020-05-15T00:00:00.000Z,10.1101/787044
2020-05-20T00:00:00.000Z,10.1101/861849
2020-05-25T00:00:00.000Z,10.1101/263186
2020-07-23T00:00:00.000Z,10.1101/794404
2020-08-04T00:00:00.000Z,10.1101/2020.04.30.069948
2020-08-07T00:00:00.000Z,10.1101/2020.06.03.20119925
2020-09-22T00:00:00.000Z,10.1101/445072
2020-09-26T00:00:00.000Z,10.1101/616409
