Date,Article DOI
2018-06-01T00:00:00.000Z,10.1101/150128
2018-09-11T00:00:00.000Z,10.1101/307322
2018-09-28T00:00:00.000Z,10.1101/273557
2018-10-03T00:00:00.000Z,10.1101/256586
2018-12-14T00:00:00.000Z,10.1101/356469
2018-12-18T00:00:00.000Z,10.1101/324178
2018-12-29T00:00:00.000Z,10.1101/387456
2019-02-18T00:00:00.000Z,10.1101/442160
2019-03-01T00:00:00.000Z,10.1101/323311
2019-03-28T00:00:00.000Z,10.1101/449777
2019-03-30T00:00:00.000Z,10.1101/431296
2019-04-05T00:00:00.000Z,10.1101/433037
2019-05-14T00:00:00.000Z,10.1101/425561
2019-05-21T00:00:00.000Z,10.1101/371385
2019-05-23T00:00:00.000Z,10.1101/515098
2019-06-05T00:00:00.000Z,10.1101/493650
2019-06-14T00:00:00.000Z,10.1101/472431
2019-08-05T00:00:00.000Z,10.1101/480335
2019-08-26T00:00:00.000Z,10.1101/398602
2019-09-14T00:00:00.000Z,10.1101/385120
2019-09-30T00:00:00.000Z,10.1101/690032
2019-11-03T00:00:00.000Z,10.1101/474874
2019-12-02T00:00:00.000Z,10.1101/629931
2019-12-30T00:00:00.000Z,10.1101/372235
2020-01-22T00:00:00.000Z,10.1101/589895
2020-01-29T00:00:00.000Z,10.1101/752881
2020-01-30T00:00:00.000Z,10.1101/717355
2020-02-17T00:00:00.000Z,10.1101/351197
2020-02-17T00:00:00.000Z,10.1101/790634
2020-03-01T00:00:00.000Z,10.1101/276592
2020-03-17T00:00:00.000Z,10.1101/839589
2020-03-18T00:00:00.000Z,10.1101/722140
2020-03-24T00:00:00.000Z,10.1101/832220
2020-05-03T00:00:00.000Z,10.1101/611939
2020-05-11T00:00:00.000Z,10.1101/557066
2020-06-14T00:00:00.000Z,10.1101/509067
2020-08-05T00:00:00.000Z,10.1101/856997
2020-08-18T00:00:00.000Z,10.1101/640995
2020-09-25T00:00:00.000Z,10.1101/436295
