Date,Article DOI
2014-06-10T00:00:00.000Z,10.1101/002717
2014-09-23T00:00:00.000Z,10.1101/005470
2014-09-30T00:00:00.000Z,10.1101/007773
2014-10-16T00:00:00.000Z,10.1101/001750
2014-10-28T00:00:00.000Z,10.1101/009134
2015-03-03T00:00:00.000Z,10.1101/007641
2015-03-26T00:00:00.000Z,10.1101/006130
2015-04-16T00:00:00.000Z,10.1101/005819
2015-04-23T00:00:00.000Z,10.1101/013359
2015-06-30T00:00:00.000Z,10.1101/010975
2015-08-27T00:00:00.000Z,10.1101/011460
2015-09-01T00:00:00.000Z,10.1101/014357
2015-11-24T00:00:00.000Z,10.1101/025148
2016-01-14T00:00:00.000Z,10.1101/029983
2016-02-16T00:00:00.000Z,10.1101/030924
2016-02-22T00:00:00.000Z,10.1101/023564
2016-03-24T00:00:00.000Z,10.1101/024414
2016-05-02T00:00:00.000Z,10.1101/036285
2016-05-03T00:00:00.000Z,10.1101/027706
2016-06-14T00:00:00.000Z,10.1101/034462
2016-07-19T00:00:00.000Z,10.1101/045526
2016-07-20T00:00:00.000Z,10.1101/035857
2016-09-06T00:00:00.000Z,10.1101/016311
2016-09-13T00:00:00.000Z,10.1101/036004
2016-10-06T00:00:00.000Z,10.1101/050062
2016-10-18T00:00:00.000Z,10.1101/030692
2016-10-27T00:00:00.000Z,10.1101/048348
2016-11-01T00:00:00.000Z,10.1101/029801
2016-11-08T00:00:00.000Z,10.1101/069013
2016-11-22T00:00:00.000Z,10.1101/082156
2016-12-14T00:00:00.000Z,10.1101/065243
2016-12-22T00:00:00.000Z,10.1101/024802
2017-01-02T00:00:00.000Z,10.1101/051813
2017-01-05T00:00:00.000Z,10.1101/052134
2017-01-10T00:00:00.000Z,10.1101/068387
2017-02-07T00:00:00.000Z,10.1101/078170
2017-02-09T00:00:00.000Z,10.1101/074112
2017-02-23T00:00:00.000Z,10.1101/088252
2017-03-08T00:00:00.000Z,10.1101/069567
2017-03-09T00:00:00.000Z,10.1101/062935
2017-03-14T00:00:00.000Z,10.1101/080457
2017-03-23T00:00:00.000Z,10.1101/066258
2017-04-04T00:00:00.000Z,10.1101/084640
2017-04-27T00:00:00.000Z,10.1101/072512
2017-04-27T00:00:00.000Z,10.1101/093344
2017-05-02T00:00:00.000Z,10.1101/054635
2017-05-16T00:00:00.000Z,10.1101/066696
2017-06-06T00:00:00.000Z,10.1101/097667
2017-06-29T00:00:00.000Z,10.1101/113142
2017-07-05T00:00:00.000Z,10.1101/095257
2017-07-10T00:00:00.000Z,10.1101/069484
2017-07-18T00:00:00.000Z,10.1101/112060
2017-07-31T00:00:00.000Z,10.1101/121830
2017-08-10T00:00:00.000Z,10.1101/089771
2017-08-23T00:00:00.000Z,10.1101/152397
2017-09-06T00:00:00.000Z,10.1101/094987
2017-09-13T00:00:00.000Z,10.1101/022657
2017-09-15T00:00:00.000Z,10.1101/107169
2017-09-19T00:00:00.000Z,10.1101/138883
2017-09-26T00:00:00.000Z,10.1101/128413
2017-10-04T00:00:00.000Z,10.1101/088666
2017-10-12T00:00:00.000Z,10.1101/113571
2017-10-17T00:00:00.000Z,10.1101/134650
2017-11-20T00:00:00.000Z,10.1101/136408
2017-11-28T00:00:00.000Z,10.1101/180950
2017-12-05T00:00:00.000Z,10.1101/152082
2017-12-06T00:00:00.000Z,10.1101/188425
2017-12-12T00:00:00.000Z,10.1101/119792
2017-12-14T00:00:00.000Z,10.1101/167056
