Date,Article DOI
2014-01-21T00:00:00.000Z,10.1101/001602
2014-02-18T00:00:00.000Z,10.1101/001701
2014-03-12T00:00:00.000Z,10.1101/002741
2014-04-25T00:00:00.000Z,10.1101/003277
2014-07-08T00:00:00.000Z,10.1101/005041
2014-07-17T00:00:00.000Z,10.1101/007203
2014-08-19T00:00:00.000Z,10.1101/007310
2014-09-25T00:00:00.000Z,10.1101/004762
2014-10-14T00:00:00.000Z,10.1101/006312
2014-11-07T00:00:00.000Z,10.1101/006270
2014-12-02T00:00:00.000Z,10.1101/005140
2014-12-09T00:00:00.000Z,10.1101/009373
2015-02-02T00:00:00.000Z,10.1101/005066
2015-02-03T00:00:00.000Z,10.1101/007807
2015-02-03T00:00:00.000Z,10.1101/008607
2015-02-23T00:00:00.000Z,10.1101/008128
2015-02-24T00:00:00.000Z,10.1101/010165
2015-02-25T00:00:00.000Z,10.1101/008490
2015-03-25T00:00:00.000Z,10.1101/009175
2015-04-02T00:00:00.000Z,10.1101/008938
2015-04-13T00:00:00.000Z,10.1101/011031
2015-05-05T00:00:00.000Z,10.1101/018408
2015-05-08T00:00:00.000Z,10.1101/016451
2015-06-17T00:00:00.000Z,10.1101/007237
2015-06-25T00:00:00.000Z,10.1101/014589
2015-08-19T00:00:00.000Z,10.1101/016931
2015-08-22T00:00:00.000Z,10.1101/008532
2015-09-22T00:00:00.000Z,10.1101/021998
2015-09-25T00:00:00.000Z,10.1101/023887
2015-09-30T00:00:00.000Z,10.1101/016733
2015-10-02T00:00:00.000Z,10.1101/018317
2015-10-06T00:00:00.000Z,10.1101/023770
2015-11-30T00:00:00.000Z,10.1101/016329
2015-12-01T00:00:00.000Z,10.1101/025890
2015-12-07T00:00:00.000Z,10.1101/020883
2015-12-10T00:00:00.000Z,10.1101/026799
2015-12-15T00:00:00.000Z,10.1101/027458
2015-12-15T00:00:00.000Z,10.1101/027896
2016-01-06T00:00:00.000Z,10.1101/035188
2016-01-21T00:00:00.000Z,10.1101/036509
2016-01-29T00:00:00.000Z,10.1101/025247
2016-02-02T00:00:00.000Z,10.1101/017152
2016-02-11T00:00:00.000Z,10.1101/037143
2016-02-15T00:00:00.000Z,10.1101/024364
2016-02-20T00:00:00.000Z,10.1101/028308
2016-02-22T00:00:00.000Z,10.1101/021535
2016-02-29T00:00:00.000Z,10.1101/027375
2016-03-18T00:00:00.000Z,10.1101/026617
2016-03-24T00:00:00.000Z,10.1101/041780
2016-03-31T00:00:00.000Z,10.1101/046367
2016-04-25T00:00:00.000Z,10.1101/025452
2016-04-29T00:00:00.000Z,10.1101/032540
2016-05-09T00:00:00.000Z,10.1101/045781
2016-05-10T00:00:00.000Z,10.1101/038372
2016-05-13T00:00:00.000Z,10.1101/037721
2016-05-17T00:00:00.000Z,10.1101/029397
2016-05-18T00:00:00.000Z,10.1101/038281
2016-05-26T00:00:00.000Z,10.1101/044974
2016-05-27T00:00:00.000Z,10.1101/031617
2016-06-14T00:00:00.000Z,10.1101/055947
2016-06-21T00:00:00.000Z,10.1101/038406
2016-07-07T00:00:00.000Z,10.1101/034736
