Date,Article DOI
2017-05-06T00:00:00.000Z,10.1101/069484
2017-06-21T00:00:00.000Z,10.1101/152397
2017-09-14T00:00:00.000Z,10.1101/188425
2018-02-23T00:00:00.000Z,10.1101/084673
2018-02-08T00:00:00.000Z,10.1101/209320
2018-03-14T00:00:00.000Z,10.1101/259150
2018-01-04T00:00:00.000Z,10.1101/221861
2017-08-18T00:00:00.000Z,10.1101/177253
2018-02-15T00:00:00.000Z,10.1101/437293
2018-01-16T00:00:00.000Z,10.1101/226092
2018-05-04T00:00:00.000Z,10.1101/312330
2018-07-08T00:00:00.000Z,10.1101/313015
2018-06-22T00:00:00.000Z,10.1101/351486
2018-09-22T00:00:00.000Z,10.1101/186825
2019-08-09T00:00:00.000Z,10.1101/416677
2019-08-16T00:00:00.000Z,10.1101/718031
2019-10-09T00:00:00.000Z,10.1101/751099
