Date,Article DOI,Review ID
2020-04-29T00:00:00.000Z,10.1101/2020.04.08.20057794,ncrc:77c48569-9e96-4217-8b06-77f404d82c9c
2020-04-30T00:00:00.000Z,10.1101/2020.04.03.20052373,ncrc:a334c00a-0995-418c-9dbd-5a1ebfccf05a
2020-05-01T00:00:00.000Z,10.1101/2020.04.05.20054403,ncrc:90c56170-fa65-4d4c-82a2-dceefeb603fe
2020-05-05T00:00:00.000Z,10.1101/2020.03.27.20043752,ncrc:0e2ca724-ff07-4684-ba4a-3f96016b899a
2020-05-05T00:00:00.000Z,10.1101/2020.03.31.20049023,ncrc:fc00c499-879f-4db5-9e4e-2b38438776d9
2020-05-05T00:00:00.000Z,10.1101/2020.04.01.20047381,ncrc:74f1ee79-9b11-45e9-8eba-2144aae650ce
2020-05-06T00:00:00.000Z,10.1101/2020.03.09.20033241,ncrc:d599c813-e37f-42d8-9417-d34916247e4d
2020-05-06T00:00:00.000Z,10.1101/2020.03.27.20043836,ncrc:0ce4c898-0378-4e73-abee-55982af94bcf
2020-05-06T00:00:00.000Z,10.1101/2020.04.06.20055632,ncrc:c79f630c-848d-45d6-8993-0f32614af34f
2020-05-08T00:00:00.000Z,10.1101/2020.04.02.20051417,ncrc:fd685a50-142d-4f18-9e20-7f36a5fb9786
2020-05-08T00:00:00.000Z,10.1101/2020.04.06.20055251,ncrc:2a740b86-568c-4589-b90b-28d74fc809ed
2020-05-08T00:00:00.000Z,10.1101/2020.04.09.034942,ncrc:e090f151-a6a7-47c8-ae81-f2758b6e82fc
2020-05-08T00:00:00.000Z,10.1101/2020.04.11.20062232,ncrc:99d64aa6-b5a6-42e9-84a0-fa527db443d9
2020-05-08T00:00:00.000Z,10.1101/2020.04.13.20063628,ncrc:40245b76-cdfe-469f-b544-bbc3a33fcc77
2020-05-10T00:00:00.000Z,10.1101/2020.04.14.20062463,ncrc:b0b18dd3-860b-414f-b617-263e8bd75fe7
2020-05-10T00:00:00.000Z,10.1101/2020.04.29.069054,ncrc:1abd8327-c507-4d36-83eb-1c27ffdaaaf2
2020-05-12T00:00:00.000Z,10.1101/2020.04.05.20051540,ncrc:990948fc-c14e-4dab-b043-b6259efedb5f
2020-05-12T00:00:00.000Z,10.1101/2020.04.08.20056929,ncrc:0ecf02c1-7226-4fe1-9048-29084f451156
2020-05-12T00:00:00.000Z,10.1101/2020.04.22.20075861,ncrc:a5e3b7dc-7745-413e-9c7f-e531d201033c
2020-05-13T00:00:00.000Z,10.1101/2020.04.01.20049759,ncrc:62b1c7b2-87b4-4135-8317-39e699efc371
2020-05-13T00:00:00.000Z,10.1101/2020.04.08.20058073,ncrc:bfae89cf-2981-4bed-8abf-e00a825ebc49
2020-05-21T00:00:00.000Z,10.1101/2020.05.05.20091587,ncrc:28e4770f-9a8d-448f-8abd-907e50b93352
2020-05-27T00:00:00.000Z,10.1101/2020.03.30.015347,ncrc:b3ee6900-acc0-499d-b437-2056202b550b
2020-05-27T00:00:00.000Z,10.1101/2020.04.01.20050203,ncrc:6b537aad-9665-4e0a-bcc7-19ec1e607ca6
2020-05-27T00:00:00.000Z,10.1101/2020.04.07.029090,ncrc:2f5b5efa-9bf9-435e-9077-33e795d5dfee
2020-05-28T00:00:00.000Z,10.1101/2020.04.11.20056010,ncrc:dd27d0ab-1734-4c5e-8704-8b55dafb9125
2020-05-28T00:00:00.000Z,10.1101/2020.04.12.20059618,ncrc:41e863f4-aa0b-4812-b2c2-264736b48fd4
2020-05-28T00:00:00.000Z,10.1101/2020.04.24.20079046,ncrc:58eb29b8-e88d-4343-b6e7-b4fbea3a85e8
2020-05-28T00:00:00.000Z,10.1101/2020.05.18.20099960,ncrc:afcaf56c-b458-4a00-9860-aafdd6c440ce
2020-06-01T00:00:00.000Z,10.1101/2020.05.06.20093005,ncrc:84de2f3f-c765-4bbf-ba60-a0561a36a2d3
2020-06-01T00:00:00.000Z,10.1101/2020.05.19.20105999,ncrc:9b00f6ae-3a77-4ce0-a40c-2e7625bc0d5e
2020-06-05T00:00:00.000Z,10.1101/2020.03.31.20042333,ncrc:9599bdf4-5f38-4397-9af8-32d5975efd4d
2020-06-08T00:00:00.000Z,10.1101/2020.04.01.20047076,ncrc:5e39e9a1-3b72-471c-8bb2-0faca7b0d421
2020-06-16T00:00:00.000Z,10.1101/2020.05.03.20089920,ncrc:a50c37a6-e587-40f8-ba97-8f8b7499d0cd
2020-06-16T00:00:00.000Z,10.1101/2020.05.07.20092353,ncrc:d5e11c47-64a4-4c02-9f90-ca0f65f4903d
2020-06-16T00:00:00.000Z,10.1101/2020.05.18.101493,ncrc:8717e009-167c-4d34-aa79-39057d40850d
2020-06-16T00:00:00.000Z,10.1101/2020.05.28.120998,ncrc:3cf6d8a6-dbb7-4532-9937-97ec801650b0
2020-06-17T00:00:00.000Z,10.1101/2020.04.16.20067835,ncrc:aed841e9-1e7e-4a06-840f-2e385dfe1c38
2020-06-22T00:00:00.000Z,10.1101/2020.04.12.20062943,ncrc:3f418628-4b76-4c59-896b-5a7305745cca
2020-07-03T00:00:00.000Z,10.1101/2020.04.01.021196,ncrc:f472b9f9-667d-4761-8adb-5e0d7fe24e33
2020-07-03T00:00:00.000Z,10.1101/2020.04.01.20049478,ncrc:10f953a0-c356-45cd-9bae-29c5e47ee9a8
2020-07-03T00:00:00.000Z,10.1101/2020.04.08.20058297,ncrc:7a1a7982-b52f-40cb-afaa-cc098d05dc14
2020-07-03T00:00:00.000Z,10.1101/2020.04.09.20059964,ncrc:541a2409-b92b-444b-b9de-5db400fd991c
2020-07-03T00:00:00.000Z,10.1101/2020.05.04.20090274,ncrc:2d4bd6b9-af9a-4317-98d9-385812281082
2020-07-03T00:00:00.000Z,10.1101/2020.05.19.20106344,ncrc:f7d7a5b2-4a3f-4c54-85ae-c13f9b5f617c
2020-07-04T00:00:00.000Z,10.1101/2020.06.22.20137273,ncrc:f18f0a3b-cd8b-48df-b6d4-3120f3cae99a
2020-07-09T00:00:00.000Z,10.1101/2020.06.08.20125534,ncrc:16deccbc-8202-4dac-a5df-bc960e44c547
2020-07-09T00:00:00.000Z,10.1101/2020.06.30.20142570,ncrc:ec6622d5-e024-49bf-a51a-c3d0e6339829
2020-07-10T00:00:00.000Z,10.1101/2020.06.09.20126946,ncrc:cd563714-ca54-4dd2-bd0a-5d705bcc0600
2020-07-13T00:00:00.000Z,10.1101/2020.06.10.20127423,ncrc:a731aec7-0b23-4bfc-80bd-166c22cf7d1e
2020-07-13T00:00:00.000Z,10.1101/2020.06.25.20140178,ncrc:54e1d871-97f6-47bc-93b5-b4c49450ea15
2020-07-22T00:00:00.000Z,10.1101/2020.07.06.20147512,ncrc:75f605eb-37a3-4454-ba5a-d5a3ce0deb47
2020-07-31T00:00:00.000Z,10.1101/2020.06.13.20130575,ncrc:a6c77623-2d45-4db6-8b33-44292b05d1d0
2020-08-03T00:00:00.000Z,10.1101/2020.07.04.187757,ncrc:c409288a-e118-4c5e-9586-877c08dd299e
2020-08-10T00:00:00.000Z,10.1101/2020.04.01.20050542,ncrc:e7cfadbd-c7ae-47c5-aa48-4a577448bfcc
2020-08-10T00:00:00.000Z,10.1101/2020.04.08.20058842,ncrc:0c8856a2-2b56-427b-ae0a-4b822e1cbfa3
2020-08-10T00:00:00.000Z,10.1101/2020.06.19.158717,ncrc:e57aa4b8-79c7-458d-b4f9-3a021df7ef89
2020-08-10T00:00:00.000Z,10.1101/2020.07.21.214346,ncrc:29ad5c39-a596-47f2-a99f-d48765872860
2020-08-12T00:00:00.000Z,10.1101/2020.07.29.20164590,ncrc:3ab71c73-35bd-4363-9ddd-d8750b1efacc
2020-08-14T00:00:00.000Z,10.1101/2020.04.05.20054288,ncrc:3e6a9d36-2483-4078-83e0-4843aa707ab8
2020-08-14T00:00:00.000Z,10.1101/2020.07.22.20159905,ncrc:8c6757e7-d01f-4ac7-94ac-31076577cf31
2020-08-14T00:00:00.000Z,10.1101/2020.07.29.20164665,ncrc:c83b54cc-0b97-4ff0-ab30-60be45bf490e
2020-08-19T00:00:00.000Z,10.1101/2020.06.26.20141085,ncrc:f1527f1c-624d-467c-a743-f16028428e3c
2020-08-20T00:00:00.000Z,10.1101/2020.08.05.20168435,ncrc:f45e9b6d-25ac-4f9f-9d2f-2fbd2e2e42ab
2020-08-24T00:00:00.000Z,10.1101/2020.07.16.20127357,ncrc:204fbbb3-f975-421f-b0aa-991a56cc879a
2020-08-25T00:00:00.000Z,10.1101/2020.08.12.20169359,ncrc:8fa791d2-ed1f-44df-90f3-00ebcb9343f8
2020-09-02T00:00:00.000Z,10.1101/2020.08.03.20162883,ncrc:b7de9939-2fa4-416c-8638-dbf7a5750196
2020-09-11T00:00:00.000Z,10.1101/32793914,ncrc:41dd7d97-5112-41cf-ae4e-67573ad8a2cd
2020-09-15T00:00:00.000Z,10.1101/2020.06.02.20120147,ncrc:8ad01826-a119-46f3-a73a-d0b8cdc51f3b
2020-09-17T00:00:00.000Z,10.1101/2020.07.31.20161216,ncrc:38a7754c-3cd3-4890-96f8-85ebf809a2b5
2020-09-22T00:00:00.000Z,10.1101/2020.04.05.20054502,ncrc:eb36124c-8d09-4126-abb0-234e3a7a28bb
2020-10-02T00:00:00.000Z,10.1101/2020.09.10.20192369,ncrc:89b4f1db-82ad-4ebc-8a0e-5fda885731a6
2020-10-05T00:00:00.000Z,10.1101/2020.09.22.20199125,ncrc:72646b6a-1b28-46fd-9e5c-fc4773b88ef6
2020-10-09T00:00:00.000Z,10.1101/2020.09.01.277152,ncrc:3a338af8-3654-4623-a5dd-c3bbc5727ab8
2020-10-13T00:00:00.000Z,10.1101/2020.08.19.256800,ncrc:f201fa07-47b2-441f-acf2-acb53d036074
2020-10-13T00:00:00.000Z,10.1101/2020.09.15.20191957,ncrc:c72056ee-1eb0-4499-bca2-197174d2ca7d
2020-10-15T00:00:00.000Z,10.1101/2020.08.18.20177626,ncrc:0d81abb1-ebc5-4c76-b0ba-7db6db31f9a1
2020-10-15T00:00:00.000Z,10.1101/2020.09.06.20189456,ncrc:ec73db11-bde7-45a4-a7dc-8646cf5f8dab
2020-10-15T00:00:00.000Z,10.1101/2020.09.09.20191213,ncrc:36ec9365-0e08-46fc-91f0-ff5cb0e2d9b4
2020-10-20T00:00:00.000Z,10.1101/2020.08.11.20172643,ncrc:d5b3eef5-4f6c-4ab2-ba26-0b8789d53eab
2020-10-20T00:00:00.000Z,10.1101/2020.09.08.20190710,ncrc:48683429-284b-4289-a30a-9529d4ebf913
2020-10-28T00:00:00.000Z,10.1101/2020.08.27.20182741,ncrc:7d4def87-5700-4b17-85f6-5ea7d7539295
2020-10-28T00:00:00.000Z,10.1101/2020.09.07.20189274,ncrc:b4c4e43e-08fa-454c-adea-122665e17db9
2020-11-02T00:00:00.000Z,10.1101/2020.10.14.20212555,ncrc:e92fa6cf-7fc5-4656-b383-9ffddcf01a71
2020-11-10T00:00:00.000Z,10.1101/2020.09.27.20189548,ncrc:6171ecd2-37f9-4f2a-acac-f2a18d0776b5
2020-11-16T00:00:00.000Z,10.1101/2020.08.25.20182071,ncrc:5e825a1e-8d06-412d-abca-98d8186e2759
2020-11-16T00:00:00.000Z,10.1101/2020.09.23.20199604,ncrc:f3206095-07e3-40d0-9fb8-6a15e4960034
2020-11-19T00:00:00.000Z,10.1101/2020.09.28.20202028,ncrc:eab0b438-c6ae-47a7-b196-b6089fa68c24
2020-12-05T00:00:00.000Z,10.1101/2020.10.28.20221705,ncrc:98fdb955-a382-41d3-978f-bdc3c07b545a
2020-12-07T00:00:00.000Z,10.1101/2020.08.23.20178236,ncrc:ef506f66-b35c-4aa4-925c-9a94c4ea8f0f
2020-12-07T00:00:00.000Z,10.1101/2020.10.13.20212183,ncrc:bd8f527c-f7ee-419e-8e6d-eac1a370ede7
2020-12-07T00:00:00.000Z,10.1101/2020.11.01.20222315,ncrc:d35edc6f-1a20-4280-a050-c07a14bdde64
2020-12-07T00:00:00.000Z,10.1101/2020.11.05.20225052,ncrc:b93c2123-c9f2-4d6c-a2ce-b62052240f7a
2020-12-10T00:00:00.000Z,10.1101/2020.10.03.20206326,ncrc:fe976051-363f-40d0-89ae-eff8ef7ea746
2020-12-10T00:00:00.000Z,10.1101/2020.10.28.20221630,ncrc:c99aff2e-64af-4792-96e2-1559f02ffe12
2020-12-19T00:00:00.000Z,10.1101/2020.10.12.20210294,ncrc:213c032c-2633-4c79-bf46-1b16f7105fd4
2021-01-03T00:00:00.000Z,10.1101/2020.10.27.20211631,ncrc:60736068-eb1d-4dfa-b592-2913c123d64b
2021-01-11T00:00:00.000Z,10.1101/2020.08.01.20166595,ncrc:8ae68050-efd0-40b8-a7fe-80749fd6b69b
2021-01-11T00:00:00.000Z,10.1101/2020.11.04.20225573,ncrc:b74c6083-590d-458a-914d-0347ba4f186e
2021-01-13T00:00:00.000Z,10.1101/2020.12.20.20248602,ncrc:91f01ad4-e018-4367-b4ff-149a4a9f0380
2021-01-13T00:00:00.000Z,10.1101/2020.12.21.20248643,ncrc:a75379c0-85c4-4c7f-b310-47c61d94537d
2021-01-22T00:00:00.000Z,10.1101/2020.10.22.20217802,ncrc:fb70c20a-640f-4527-a1fe-89c397e0d6fc
2021-01-22T00:00:00.000Z,10.1101/2020.12.09.20245175,ncrc:e190be26-d735-42b0-a781-428bb5fd7382
2021-01-22T00:00:00.000Z,10.1101/2020.12.22.20248327,ncrc:e4282e9d-9968-4c28-b3e1-8833be96fce1
2021-01-22T00:00:00.000Z,10.1101/2020.12.23.20248790,ncrc:1c448837-ad5e-4a86-90c7-5688d077836b
2021-01-22T00:00:00.000Z,10.1101/2020.12.24.20248802,ncrc:37f0a310-c6a4-4842-a7da-09c735bf430e
2021-01-22T00:00:00.000Z,10.1101/2021.01.07.425740,ncrc:498449be-1c7a-47a0-ac05-53c4c14f8de9
